movie,genres,rating,rating-count,num-reviews,num-critics,gross-USA,gross-world
Book of Shadows: Blair Witch 2, Adventure Fantasy Horror,3.9,35333,466,173.0,26437094.0,47737094.0
Speed 2: Cruise Control, Action Adventure Crime,3.9,73757,282,90.0,48608066.0,164508066.0
Singularity, Action Adventure Drama,3.8,12770,343,18.0,4176.0,86822.0
Escape Plan 2: Hades, Action Crime Mystery,3.8,27221,2804,74.0,4176.0,17592626.0
The Canyons, Drama Thriller,3.8,10362,101,170.0,56825.0,270185.0
The Human Centipede II (Full Sequence), Crime Horror,3.8,35106,266,194.0,141877.0,170323.0
Holmes & Watson, Comedy Crime Mystery,3.8,28957,914,106.0,30573626.0,40466970.0
Beverly Hills Chihuahua, Adventure Comedy Drama,3.8,22509,113,102.0,94514402.0,149292488.0
The Love Guru, Comedy Romance Sport,3.8,49951,290,148.0,32235793.0,40877556.0
Furry Vengeance, Comedy Family,3.8,15536,94,103.0,17630465.0,36351945.0
In the Name of the King: A Dungeon Siege Tale, Action Adventure Fantasy,3.8,43984,399,146.0,4775656.0,13097915.0
The Adventures of Pluto Nash, Action Comedy Sci-Fi,3.8,24270,186,58.0,4420080.0,7103973.0
Batman & Robin, Action Sci-Fi,3.8,231240,1147,216.0,107353792.0,238235915.0
The Avengers, Action Adventure Sci-Fi,3.8,40470,471,118.0,23384939.0,23384939.0
Double Dragon, Action Adventure Comedy,3.8,11035,67,108.0,2341309.0,2341309.0
Caddyshack II, Comedy Sport,3.8,14492,88,8.0,11798302.0,11798302.0
Exorcist II: The Heretic, Horror,3.8,21459,283,123.0,30749142.0,30749142.0
Recep Ivedik 4, Comedy,3.7,14942,9,2.0,30749142.0,39477906.0
Piranha 3DD, Comedy Horror,3.7,39463,191,252.0,376512.0,8518634.0
Street Fighter: The Legend of Chun-Li, Action Crime Thriller,3.7,22810,195,99.0,8742261.0,12764201.0
Extreme Movie, Comedy,3.7,10602,40,16.0,,
The Wicker Man, Horror Mystery Thriller,3.7,63525,781,200.0,23649127.0,38805380.0
The Fog, Horror Mystery,3.7,34662,476,144.0,29550869.0,46201432.0
The Room, Drama,3.7,80570,647,112.0,549602.0,4967900.0
Ballistic: Ecks vs. Sever, Action Crime Mystery,3.7,19027,282,94.0,14307963.0,20154899.0
Mortal Kombat: Annihilation, Action Adventure Fantasy,3.7,46003,289,70.0,35927406.0,51376861.0
Superman IV: The Quest for Peace, Action Adventure Sci-Fi,3.7,42304,289,114.0,15681020.0,15681020.0
Jaws 3-D, Adventure Horror Thriller,3.7,39180,317,91.0,45517055.0,87987055.0
The Hungover Games, Comedy,3.6,11582,2739,519.0,45517055.0,87987055.0
S. Darko, Drama Mystery Sci-Fi,3.6,13114,123,87.0,,
Stan Helsing, Comedy Horror,3.6,12398,88,48.0,,1475003.0
I Know Who Killed Me, Crime Drama Mystery,3.6,25780,281,145.0,7498716.0,9669758.0
Delta Farce, Action Adventure Comedy,3.6,10595,65,43.0,8130530.0,8729473.0
The Adventures of Sharkboy and Lavagirl 3-D, Action Adventure Comedy,3.6,31141,221,70.0,39177684.0,71992655.0
Swept Away, Comedy Romance,3.6,15565,226,73.0,598645.0,1036520.0
Dungeons & Dragons, Action Adventure Fantasy,3.6,31703,608,79.0,15391970.0,33978694.0
The Flintstones in Viva Rock Vegas, Comedy Family Romance,3.6,21309,100,62.0,35268275.0,59468275.0
2001: A Space Travesty, Comedy Sci-Fi,3.6,11364,94,3.0,,
Police Academy: Mission to Moscow, Comedy Crime,3.6,31427,118,26.0,126247.0,126247.0
Kalank, Drama Romance,3.5,11409,514,23.0,2729336.0,17987034.0
Fifty Shades of Black, Comedy,3.5,19225,84,78.0,11686940.0,22227514.0
Spy Kids 4: All the Time in the World, Action Adventure Comedy,3.5,22274,93,75.0,38538188.0,85564310.0
Dance Flick, Action Comedy Music,3.5,11630,58,84.0,25662155.0,31439140.0
Scary Movie 5, Comedy Horror,3.5,64671,213,159.0,32015787.0,78378744.0
D-War, Action Drama Fantasy,3.5,23562,375,100.0,10977721.0,75108817.0
Crossroads, Comedy Drama Romance,3.5,38104,575,117.0,37191304.0,61141030.0
Spice World, Comedy Family Music,3.5,32905,269,39.0,29342592.0,29342592.0
Vampires Suck, Comedy Horror,3.4,46116,201,121.0,36661504.0,80547866.0
Dumb and Dumberer: When Harry Met Lloyd, Comedy,3.4,36951,272,86.0,26276465.0,39267515.0
Catwoman, Action Crime Fantasy,3.4,109339,729,131.0,40202379.0,82102379.0
The Master of Disguise, Adventure Comedy Family,3.4,22062,330,51.0,40388794.0,43411001.0
Feardotcom, Crime Horror Thriller,3.4,19818,416,104.0,13258249.0,18902015.0
Mac and Me, Adventure Family Fantasy,3.4,11282,142,48.0,6424112.0,6424112.0
Teen Wolf Too, Comedy Fantasy,3.4,10452,73,46.0,7888703.0,7888703.0
Recep Ivedik 5, Comedy,3.3,14162,17,,7888703.0,28952258.0
The Emoji Movie, Animation Adventure Comedy,3.3,54483,826,157.0,86089513.0,217776646.0
365 dni, Drama Romance,3.3,38422,18,4.0,,
Jack and Jill, Comedy,3.3,76828,358,163.0,74158157.0,149673788.0
Larry the Cable Guy: Health Inspector, Comedy Romance,3.3,10407,116,36.0,15680099.0,15680099.0
Barb Wire, Action Sci-Fi,3.3,24772,106,89.0,3793614.0,3793614.0
The Return of the Texas Chainsaw Massacre, Comedy Horror Thriller,3.3,19649,287,70.0,185898.0,185898.0
Hercules in New York, Adventure Comedy Fantasy,3.3,16922,146,47.0,185898.0,185898.0
The Open House, Horror Thriller,3.2,30101,4019,89.0,185898.0,185898.0
Veere Di Wedding, Comedy,3.2,11468,456,21.0,185898.0,2176099.0
Slender Man, Horror Mystery Thriller,3.2,27347,682,136.0,30569484.0,51738549.0
The Starving Games, Comedy Sci-Fi,3.2,18747,72,42.0,,
Bucky Larson: Born to Be a Star, Comedy,3.2,11243,79,49.0,2529395.0,2530394.0
Die unendliche Geschichte III: Rettung aus Phantasien, Adventure Comedy Family,3.2,10599,100,18.0,2529395.0,2530394.0
Captain America, Action Adventure Sci-Fi,3.2,11108,135,91.0,2529395.0,2530394.0
Left Behind, Action Fantasy Sci-Fi,3.1,36473,607,175.0,14019924.0,27405896.0
Bratz, Comedy Family Music,3.1,17614,118,61.0,10010209.0,26013153.0
Daddy Day Camp, Comedy Family,3.1,15484,46,54.0,13235267.0,18197398.0
